medicare_number|firstname|lastname|date_of_birth|gender|phonenumber
10000000000a|Joanna|Koo|1997-06-05|F|5141231234
L012345677|Lila|Johnson|2000-11-05|F|1234567893
L123456788|Liam|Johnson|1992-09-03|M|1234567892
L234567889|Luna|Brown|1985-10-20|F|9876543213
L345678890|Leo|Smith|1978-03-08|M|5551234569
L456789011|Lily|Anderson|1992-08-25|F|4567890125
L567890122|Logan|Thompson|1983-12-12|M|7890123458
L678901233|Lucy|Taylor|1995-04-18|F|2345678903
L789012344|Luke|Martinez|1991-06-30|M|6789012347
L890123455|Leah|Smith|1989-09-10|F|9012345680
L901234566|Liam|Hernandez|1975-02-28|M|3456789014
M012345678|Ava|Wilson|2000-11-05|F|1234567891
M012349898|Avery|Miller|1996-11-29|F|9012345668
M123450987|James|Garcia|1982-07-14|M|8901034567
M123456789|John|Doe|1990-05-15|M|1234567890
M234561276|Mia|Lopez|1998-01-22|F|2345678901
M234567890|Jane|Smith|1985-10-20|F|9876543210
M345672365|Benjamin|Lee|1974-09-09|M|6789010345
M345678901|Michael|Johnson|1978-03-08|M|5551234567
M456783454|Ella|Miller|1994-03-03|F|9012345698
M456789012|Emily|Brown|1992-08-25|F|4567890123
M567890123|William|Jones|1988-12-12|M|7890123456
M567894543|Joseph|Jackson|1987-12-01|M|3456489012
M678901234|Olivia|Taylor|1995-04-18|F|2345878901
M678905632|Sofia|Thompson|1993-06-09|F|1234067890
M789012345|Daniel|Martinez|1991-06-30|M|6789012305
M789016721|Daniel|Perez|2002-04-17|M|8901234567
M890123456|Sophia|Anderson|1989-09-10|F|9012345678
M890127810|Charlotte|Davis|1986-08-07|F|2345679901
M901234567|David|Hernandez|1975-02-28|M|3456709012
M901238909|Alexander|White|1997-10-26|M|6789012345
N098765432|Jackson|Smith|1973-01-11|M|3456789012
N109876543|Isabella|Taylor|2004-06-07|F|1294567891
N210987654|Liam|Williams|1992-09-03|M|1234567590
N321876543|Emma|Johnson|1988-05-12|F|9876593210
N432765432|Noah|Miller|1979-11-18|M|5501234567
N543654321|Olivia|Brown|2001-02-20|F|4567990123
N654543210|Ethan|Davis|1997-07-09|M|7890023456
N765432109|Ava|Martinez|1986-03-28|F|2385678901
N876543210|Liam|Wilson|1993-08-15|M|6769012345
N987654321|Sophia|Garcia|1999-04-01|F|9012745678
